,address,lat,lon,name
208,"Dijkhoeve 4  Houten,  Utrecht 3992 XV",52.0344880,5.1652678,Afdeling Houten
209,"Dijkhoeve 4  Houten,  Utrecht 3992 XV",52.0344880,5.1652678,Afdeling Houten
210,"&#39;s Gravenlust 35  IJmuiden,  Noord-Holland 1981 AE",52.459761,4.650465,Afdeling IJmond
211,"  IJmuiden,  Noord-Holland 1981 AE",52.4604640,4.6496896,Afdeling IJmond
212,"  IJmuiden,  Noord-Holland 1981 AE",52.4604640,4.6496896,Afdeling IJmond
213,"Duitslandstraat 7  Ijsselstein Ut,  Utrecht 3402 GH",52.0233415,5.0541129,Afdeling IJsselstein
214,"Duitslandstraat 7  Ijsselstein Ut,  Utrecht 3402 GH",52.0233415,5.0541129,Afdeling IJsselstein
215,"Duitslandstraat 7  Ijsselstein Ut,  Utrecht 3402 GH",52.0233415,5.0541129,Afdeling IJsselstein
216,"Wilhelminalaan 20  Kampen,  Overijssel 8262 DE",52.5610437,5.9073457,Afdeling Kampen/IJsselmuiden
217,"Wilhelminalaan 20  Kampen,  Overijssel 8262 DE",52.5610437,5.9073457,Afdeling Kampen/IJsselmuiden
218,"Wilhelminalaan 20  Kampen,  Overijssel 8262 DE",52.5610437,5.9073457,Afdeling Kampen/IJsselmuiden
219,"Bruelisstraat 21  Kapelle,  Zeeland 4421 CL",51.4844545,3.963304,Afdeling Kapelle
220,"Bruelisstraat 21  Kapelle,  Zeeland 4421 CL",51.4844545,3.9633040,Afdeling Kapelle
221,"Bruelisstraat 21  Kapelle,  Zeeland 4421 CL",51.4844545,3.9633040,Afdeling Kapelle
222,"Prins Hendrikkade 12  Katwijk Zh,  Zuid-Holland 2225 TZ",52.2053233,4.4074919,Afdeling Katwijk
223,"Prins Hendrikkade 12  Katwijk Zh,  Zuid-Holland 2225 TZ",52.2052506,4.4077145,Afdeling Katwijk
224,"Hoofdstraat 24 b  Kerkrade,  Limburg 6461 CR",50.8643664,6.0660515,Afdeling Kerkrade
225,"Hoofdstraat 24 b  Kerkrade,  Limburg 6461 CR",50.8643664,6.0660515,Afdeling Kerkrade
226,"Hoofdstraat 24 b  Kerkrade,  Limburg 6461 CR",50.8643664,6.0660515,Afdeling Kerkrade
227,"Dordsedijk 7  Klazienaveen,  Drenthe 7891 NJ",52.7230465,6.9857339,Afdeling Klazienaveen
228,"D. van de Arestraat 17  Vollenhove,  Overijssel 8325 GJ",52.6763662,5.9604907,Afdeling Kop van Overijssel
229,"D. van de Arestraat 17  Vollenhove,  Overijssel 8325 GJ",52.6763662,5.9604907,Afdeling Kop van Overijssel
230,"D. van de Arestraat 17  Vollenhove,  Overijssel 8325 GJ",52.6763662,5.9604907,Afdeling Kop van Overijssel
